,id,subj,verb,np,adjectives,prepositions,obj phrasal weight,final con,distilgpt2 sentence score,np syll,final con syll,distilgpt2_token,np len,final con len,distilgpt2 final con tokens,gpt2 sentence score,gpt2_token,gpt2 final con tokens,gpt2_med sentence score,gpt2_med_token,gpt2_med final con tokens,gpt2_large sentence score,gpt2_large_token,gpt2_large final con tokens,gpt2_xl sentence score,gpt2_xl_token,gpt2_xl final con tokens,llama_3 sentence score,llama_3_token,llama_3 final con tokens,llama_3_chat sentence score,llama_3_chat_token,llama_3_chat final con tokens,babyopt sentence score,babyopt_token,babyopt final con tokens,babyllama sentence score,babyllama_token,babyllama final con tokens,mistral_0.3 sentence score,mistral_0.3_token,mistral_0.3 final con tokens,mistral_0.3_chat sentence score,mistral_0.3_chat_token,mistral_0.3_chat final con tokens,olmo sentence score,olmo_token,olmo final con tokens,olmo_chat sentence score,olmo_chat_token,olmo_chat final con tokens,final con phrasal weight,syll_ratio,wordlength_ratio,mods_ratio,sentence_shifted,sentence_nonshifted,gpt2_score,gpt2_med_score,gpt2_large_score,gpt2_xl_score,llama_3_score,llama_3_chat_score,babyopt_score,babyllama_score,mistral_0.3_score,mistral_0.3_chat_score,olmo_score,olmo_chat_score,var,responses
0,0,Melissa,prepared,a present with red ribbon in a white box,[],"['with red ribbon', 'in a white box']",3,in her kitchen,-5.4547997793,11,4,8,9,3,3,-5.163086319,8,3,-4.6538777669,8,3,-4.2464864413,8,3,-4.2501103083,8,3,-4.5951447487,8,3,-4.9439285994,8,3,-7.8194001019,8,3,-4.5308751166,8,3,-4.3102283478,10,3,-4.5787773974,10,3,-4.4734121323,8,3,-5.0224628766,8,3,1,2.75,3.0,3,Melissa prepared in her kitchen a present with red ribbon in a white box.,Melissa prepared a present with red ribbon in a white box in her kitchen.,0.34309819540000003,0.1275273641,0.3386904717,0.1875354767,0.1584225297,0.15825653080000002,0.28960838910000003,0.11992460490000001,0.131771256,0.3658209408,0.1508206686,0.1504299799,hnps,"[4.0, 3.0, 1.0, 3.0]"
1,1,Melissa,gave,a gold trophy with her name for her performance,['gold'],"['with her name', 'for her performance']",4,for the competition,-5.6566842397,12,6,8,9,3,3,-5.0182834625,8,3,-4.5463185628,8,3,-4.3006256739,8,3,-4.4584777514,8,3,-4.9052724838,8,3,-5.2316384315,8,3,-7.1061567962,8,3,-4.4625550438,9,3,-4.4738782434,9,3,-4.5132130455,9,3,-4.7483931541,8,3,-5.2558994611,8,3,1,2.0,3.0,4,Melissa gave for the competition a gold trophy with her name for her performance.,Melissa gave a gold trophy with her name for her performance for the competition.,0.3339220683,0.1893974304,0.4164801597,0.25495112740000003,0.47431635850000003,0.5338461399000001,0.3308305144,0.20814968550000001,0.2867388164,0.1219285517,0.6377207438,0.709013176,hnps,"[3.0, 3.0, 1.0, 4.0]"
2,2,Melissa,prepared,vegan blueberry muffins with white frosting with egg substitute,"['vegan', 'blueberry']","['with white frosting', 'with egg substitute']",5,in her kitchen,-5.2919097477,16,4,12,9,3,3,-5.0308125814,12,3,-4.3351466523,12,3,-4.2465820577,12,3,-4.2612793181,12,3,-4.6125832134,11,3,-5.1717867321,11,3,-9.3962259544,12,3,-5.2506701152,13,3,-3.8122755397,14,3,-3.9298485626,14,3,-4.3358640141,12,3,-5.114392572,12,3,1,4.0,3.0,5,Melissa prepared in her kitchen vegan blueberry muffins with white frosting with egg substitute.,Melissa prepared vegan blueberry muffins with white frosting with egg substitute in her kitchen.,0.37497541640000004,0.25355323150000003,0.33943788210000003,0.3249804444,0.14668946800000002,0.5008717113,0.3396178798,0.26372684760000004,0.3437253561,0.3732597395,0.3103194767,0.3306952583,hnps,"[1.0, 2.0, 1.0, 1.0, 2.0]"
3,3,Melissa,presented,a shiny gold winning trophy,"['shiny', 'gold', 'winning']",[],4,to the team,-5.8921989094,8,3,6,5,3,3,-5.2113344019,6,3,-4.8143251592,6,3,-4.4931533120000005,6,3,-4.5884722363,6,3,-5.0050703684,6,3,-5.2899185022,6,3,-7.0898926258,6,3,-4.9911974393,6,3,-4.7111713703,6,3,-4.9212113527,6,3,-4.5717739625,6,3,-5.0069263198,6,3,1,2.6666666667,1.6666666667,4,Melissa presented to the team a shiny gold winning trophy.,Melissa presented a shiny gold winning trophy to the team.,0.21998457470000002,0.25988873560000003,0.0855180567,0.1640781056,0.2995419502,0.5741825104,-0.011582613,0.2595425752,0.3732093664,0.4364957076,0.3887241537,0.6830521930000001,hnps,"[1.0, 3.0, 2.0, 2.0, 1.0]"
4,4,Melissa,prepared,a wrapped birthday present with red ribbon in a white box,"['wrapped', 'birthday']","['with red ribbon', 'in a white box']",5,in her kitchen,-5.4170110366,14,4,11,11,3,3,-5.2428968093,11,3,-4.6107206906,11,3,-4.3382147901,11,3,-4.3562031073,11,3,-4.1969195472,10,3,-4.6236984465,10,3,-7.4759413136,11,3,-4.7869144546,12,3,-4.0505420534,12,3,-4.1815028191,12,3,-4.1950283612,11,3,-4.6242069637,11,3,1,3.5,3.6666666667,5,Melissa prepared in her kitchen a wrapped birthday present with red ribbon in a white box.,Melissa prepared a wrapped birthday present with red ribbon in a white box in her kitchen.,0.2418904024,0.0802174737,0.2821855545,0.322587434,0.1513590283,0.0878458023,-0.2013709546,0.10878955,0.1326109484,0.2832415481,0.0796178369,0.12813960800000002,hnps,"[4.0, 2.0, 6.0, 4.0, 3.0]"
5,5,Melissa,prepared,blueberry muffins,['blueberry'],[],2,over the weekend,-6.1512456894,5,5,4,2,3,3,-5.442625618,4,3,-4.362551403,4,3,-4.3224499702,4,3,-4.192838192,4,3,-4.5802535577,4,3,-5.1068603342,4,3,-7.8526044325,4,3,-5.2605118752,5,3,-3.8729489247,5,3,-4.0648841858,5,3,-4.0943489075,4,3,-4.5347997189,4,3,1,1.0,0.6666666667000001,2,Melissa prepared over the weekend blueberry muffins.,Melissa prepared blueberry muffins over the weekend.,0.7335601807000001,0.36487131110000004,0.5664798736000001,0.9144552231,0.7859699509,1.1566227132,-0.1305858873,0.3964806904,0.5240588586,0.6434430281,0.6272573471,0.5765960694,hnps,"[1.0, 1.0, 1.0, 1.0]"
6,6,Melissa,gave,an expensive check of $50k,['expensive'],['of $50k'],3,for the competition,-6.270306954,6,6,6,5,3,3,-5.7844330714,6,3,-5.3763038929,6,3,-5.1343741417,6,3,-5.6017543719,6,3,-5.776934215,7,3,-5.8448685237,7,3,-7.6635329042,6,3,-5.5065594741,8,3,-5.3034411748,8,3,-5.3880117734,8,3,-5.319569551,6,3,-6.0307375835,6,3,1,1.0,1.6666666667,3,Melissa gave for the competition an expensive check of $50k.,Melissa gave an expensive check of $50k for the competition.,0.44120260380000004,0.21105707610000002,0.2907290826,0.5083009646000001,0.3243846212,0.4218456404,-0.0423677649,0.38309509410000003,0.25342003500000004,0.1399739901,0.0972937437,0.086160073,hnps,"[1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 3.0]"
7,7,Melissa,presented,a gold winning trophy with her name for her performance,"['gold', 'winning']","['with her name', 'for her performance']",5,for the competition,-5.5016829967,14,6,9,10,3,3,-5.0267803669,9,3,-5.1051316261,9,3,-4.742510587,9,3,-4.6195419729000005,9,3,-5.3107261658,9,3,-5.8414485034,9,3,-7.2565982763,9,3,-4.7068317996,10,3,-4.7705520259,10,3,-4.8442689578,10,3,-4.8806490302,9,3,-5.3477584422,9,3,1,2.3333333333,3.3333333333,5,Melissa presented for the competition a gold winning trophy with her name for her performance.,Melissa presented a gold winning trophy with her name for her performance for the competition.,0.2577257156,0.6009669304,0.46179181340000003,0.416831106,0.4975400813,0.8274075564000001,0.49597229680000005,0.2906557189,0.14265391560000001,0.14574964840000001,0.5987675488,0.4837299586,hnps,"[3.0, 4.0, 3.0, 1.0]"
8,8,Melissa,awarded,a shiny gold winning trophy with her name for her performance,"['shiny', 'gold', 'winning']","['with her name', 'for her performance']",6,for the competition,-5.8429621528,16,6,11,11,3,3,-5.3268762476000004,11,3,-5.1522975248,11,3,-4.8424418393,11,3,-4.9064781526,11,3,-5.3075862461,11,3,-5.8039898343,11,3,-7.351619641,11,3,-5.087643799,11,3,-5.0421309722,11,3,-5.0414709794,11,3,-4.9862327015,11,3,-5.676300133,11,3,1,2.6666666667,3.6666666667,6,Melissa awarded for the competition a shiny gold winning trophy with her name for her performance.,Melissa awarded a shiny gold winning trophy with her name for her performance for the competition.,0.4907778571,0.6801421221,0.5452422534,0.5915413745,0.30176745520000003,0.49878332350000004,0.4266532262,0.23490519270000002,0.3890526671,0.4498873259,0.5388326645,0.40003322150000004,hnps,"[3.0, 1.0, 3.0, 1.0]"
9,9,Melissa,made,a wrapped present with red ribbon in a white box,['wrapped'],"['with red ribbon', 'in a white box']",4,in her kitchen,-5.5154905319,12,4,10,10,3,3,-5.1063017845,10,3,-4.638030529,10,3,-4.30246225,10,3,-4.2572779953,10,3,-4.3588600439,9,3,-4.4029919119,9,3,-7.6527954831,10,3,-4.6869070951,11,3,-4.1907748381,11,3,-4.3676951461,11,3,-4.010307312,10,3,-4.4032690525,10,3,1,3.0,3.3333333333,4,Melissa made in her kitchen a wrapped present with red ribbon in a white box.,Melissa made a wrapped present with red ribbon in a white box in her kitchen.,0.2971827984,0.2804434299,0.5236445069,0.38867142790000003,0.2524639298,-0.0243779351,0.3622735809,0.1422787835,0.1876161628,0.2033292982,0.1180739403,0.081515193,hnps,"[2.0, 1.0, 2.0, 1.0, 7.0]"
