,id,subj,verb,obj1,adj1,preps1,obj2,adj2,preps2,obj1 phrasal weight,obj2 phrasal weight,distilgpt2 sentence score,full obj1,full obj2,obj1 syll,obj2 syll,distilgpt2 obj1 tokens,distilgpt2 obj2 tokens,obj1 len,obj2 len,gpt2 sentence score,gpt2 obj1 tokens,gpt2 obj2 tokens,gpt2_med sentence score,gpt2_med obj1 tokens,gpt2_med obj2 tokens,gpt2_large sentence score,gpt2_large obj1 tokens,gpt2_large obj2 tokens,gpt2_xl sentence score,gpt2_xl obj1 tokens,gpt2_xl obj2 tokens,llama_3 sentence score,llama_3 obj1 tokens,llama_3 obj2 tokens,llama_3_chat sentence score,llama_3_chat obj1 tokens,llama_3_chat obj2 tokens,babyopt sentence score,babyopt obj1 tokens,babyopt obj2 tokens,babyllama sentence score,babyllama obj1 tokens,babyllama obj2 tokens,mistral_0.3 sentence score,mistral_0.3 obj1 tokens,mistral_0.3 obj2 tokens,mistral_0.3_chat sentence score,mistral_0.3_chat obj1 tokens,mistral_0.3_chat obj2 tokens,olmo sentence score,olmo obj1 tokens,olmo obj2 tokens,olmo_chat sentence score,olmo_chat obj1 tokens,olmo_chat obj2 tokens,syll_ratio,wordlength_ratio,mods_ratio,sentence_shifted,sentence_nonshifted,gpt2_score,gpt2_med_score,gpt2_large_score,gpt2_xl_score,llama_3_score,llama_3_chat_score,babyopt_score,babyllama_score,mistral_0.3_score,mistral_0.3_chat_score,olmo_score,olmo_chat_score,var,responses
0,0,Janet,drove,to the event,"['annual', 'charity']",['in the convention center'],with a van,"['large', 'rented']","['with space', 'for her supplies']",4,5,-5.1758762706,to annual charity the event in the convention center,with a large rented van with space for her supplies,17,12,9,10,9,10,-4.7019072446,9,10,-4.701113094,9,10,-4.6611207399,9,10,-4.5135058056,9,10,-4.4634585795,9,10,-4.4216004869,9,10,-6.6825044466,9,10,-5.0468572119,9,11,-4.1557360689,9,11,-4.2056574424,9,11,-4.2376568968,9,10,-4.2671809847,9,10,1.4166666667,0.9,0.8,Janet drove with a large rented van with space for her supplies to the annual charity event in the convention center.,Janet drove to the annual charity event in the convention center with a large rented van with space for her supplies.,0.1991410689,0.2981172042,0.2557596294,0.2876880602,0.29870887420000003,-0.0429427728,0.24825672480000002,0.1067544066,-0.0252641638,-0.0219299793,0.26322187080000004,0.3131033291,mpp,"[1.0, 2.0, 7.0, 2.0, 2.0]"
1,1,Janet,talked,with her team,['assigned'],['in the company'],about the project,"['catastrophic', 'failing']","['for the analysis', 'for the paper']",3,5,-5.7391159421,with assigned her team in the company,about the catastrophic failing project for the analysis for the paper,11,21,7,11,7,11,-5.5326409113,7,11,-5.2662508828,7,11,-5.3677657218,7,11,-5.3927124795,7,11,-5.0305321217,7,11,-5.0264687755,7,11,-7.2010707638,7,11,-4.4540186112,7,16,-4.4753339195,7,14,-4.5830909348,7,14,-5.0665963718,7,11,-5.1763162386,7,11,0.5238095238,0.6363636364,0.6000000000000001,Janet talked about the catastrophic failing project for the analysis for the paper with her assigned team in the company.,Janet talked with her assigned team in the company about the catastrophic failing project for the analysis for the paper.,-0.0189939226,-0.3253289178,0.0026488077000000002,0.1501627195,-0.0386242866,-0.1419752078,-0.7254800797000001,-0.1342830841,-0.0272807312,-0.0282678604,0.0980002313,0.0029259409,mpp,"[4.0, 1.0, 7.0, 3.0, 2.0]"
2,2,Janet,walked,with her brother,[],[],to our class,['math'],[],1,2,-5.4057098389,with her brother ,to our math class ,4,4,5,5,3,4,-5.0101566315,5,5,-4.8812805176,5,5,-4.7955678463,5,5,-4.6920391083,5,5,-4.7255020142,5,5,-4.9361005263,5,5,-7.6313397234,5,5,-4.4227966309,5,5,-4.7560834451,5,5,-5.0728118203,5,5,-4.5147879124,5,5,-4.9989616871,5,5,1.0,0.75,0.5,Janet walked to our math class with her brother.,Janet walked with her brother to our math class.,0.3538764954,0.3039096832,0.008174228700000001,0.2098890782,0.1042358225,0.14515946130000001,-0.6526193185,0.1645578385,0.1696928198,0.0822681947,0.405281353,0.5468053818,mpp,"[5.0, 1.0, 6.0, 7.0]"
3,3,Janet,chatted,with her professor,[],"['in the biology department', 'at the university']",inside the restaurant,"['American', 'seafood']",[],3,3,-4.9929083774,with her professor in the biology department at the university,inside the American seafood restaurant ,21,12,11,6,10,5,-4.6678302163,11,6,-4.6186824598,11,6,-4.5405931724,11,6,-4.5870462217,11,6,-4.9074047089,11,6,-4.7407269001,11,6,-6.7441718817,11,6,-3.9720864079,12,9,-4.1119878942,12,7,-4.1028591069,12,7,-4.419022259,11,6,-4.4765705058,11,6,1.75,2.0,1.0,Janet chatted inside the American seafood restaurant with her professor in the biology department at the university.,Janet chatted with her professor in the biology department at the university inside the American seafood restaurant.,-0.0353726838,0.044390025900000005,0.020698497200000002,0.018129926,0.1515644789,-0.0028766632000000003,0.21972117430000002,0.12882438570000002,0.0668230056,-0.0810164322,-0.0138847451,-0.0780455439,mpp,"[4.0, 7.0, 4.0, 7.0, 5.0]"
4,4,Janet,discussed,with her team,"['new', 'assigned']","['for stock predictions', 'in the company']",about a raise,"['large', 'generous']",['for the budget'],5,4,-6.2316112518,with new assigned her team for stock predictions in the company,about a large generous raise for the budget,17,12,11,8,11,8,-5.9977921573,11,8,-5.4631767273,11,8,-5.9246064533,11,8,-5.7841739221,11,8,-5.6111740237,11,8,-5.8427927598,11,8,-7.5384340908,11,8,-5.7472080977,12,8,-5.7550821097,11,8,-5.8155156218,11,8,-5.5559588779,11,8,-5.7516497482,11,8,1.4166666667,1.375,1.25,Janet discussed about a large generous raise for the budget with her new assigned team for stock predictions in the company.,Janet discussed with her new assigned team for stock predictions in the company about a large generous raise for the budget.,0.11692914100000001,-0.3120647777,0.0068925944,0.0718015107,0.053369542900000004,0.1460992565,-0.07598084990000001,0.0498745545,0.1891092425,0.2511548166,0.0982807333,0.0909214887,mpp,"[5.0, 6.0, 7.0, 2.0, 5.0]"
5,5,Janet,talked,with her team,['assigned'],"['in the finance branch', 'in the company']",about the project,"['disorganized', 'catastrophic', 'failing']","['in the data', 'for the analysis']",4,6,-5.6380968447,with assigned her team in the finance branch in the company,about the disorganized catastrophic failing project in the data for the analysis,16,26,11,13,11,12,-5.5255019576,11,13,-5.2914896365,11,13,-5.2283477253,11,13,-5.240761439,11,13,-5.0110635247,11,13,-5.0170629876,11,13,-7.046545182,11,13,-4.3998641126,12,19,-4.3437587917,11,17,-4.4021197259000004,11,17,-4.9975259922,11,13,-5.2456675282,11,13,0.6153846154,0.9166666667000001,0.6666666667000001,Janet talked about the disorganized catastrophic failing project in the data for the analysis with her assigned team in the finance branch in the company.,Janet talked with her assigned team in the finance branch in the company about the disorganized catastrophic failing project in the data for the analysis.,-0.3506659049,-0.4609629313,-0.175786142,-0.0678110123,-0.2029310124,-0.1795874493,-0.46268396710000004,-0.3612862195,-0.163082838,-0.171960637,-0.030026930400000002,-0.0309776554,mpp,"[3.0, 5.0, 7.0, 1.0, 2.0]"
6,6,Janet,argued,with her team,['economics'],"['in the finance branch', 'in the company']",about the project,"['catastrophic', 'failing']","['in the data', 'for the analysis']",4,5,-5.7631997681,with economics her team in the finance branch in the company,about the catastrophic failing project in the data for the analysis,17,21,11,11,11,11,-5.5954138184,11,11,-5.351024437,11,11,-5.3523848534,11,11,-5.4906279755,11,11,-5.1850587771,11,11,-5.2261778942,11,11,-7.4112465198,11,11,-4.2064782083,13,16,-4.652056283,11,14,-4.6525972794,11,14,-5.1154964638,11,11,-5.5434178925,11,11,0.8095238095,1.0,0.8,Janet argued about the catastrophic failing project in the data for the analysis with her economics team in the finance branch in the company.,Janet argued with her economics team in the finance branch in the company about the catastrophic failing project in the data for the analysis.,-0.2126083374,-0.2944385147,-0.06752622600000001,-0.0477765655,-0.0651100966,-0.024216285100000002,-0.3897977426,-0.2198882252,0.0379243555,0.023567545000000002,-0.050499935100000004,-0.0578468704,mpp,"[3.0, 4.0, 7.0, 5.0, 6.0]"
7,7,Janet,chatted,with the man,[],[],inside the restaurant,"['popular', 'American']","['on main street', 'in downtown']",1,5,-5.4681252872,with the man ,inside the popular American restaurant on main street in downtown,3,19,5,10,3,10,-5.0334396362,5,10,-4.8340667276,5,10,-4.6415567118,5,10,-4.8157849312,5,10,-5.1801504294,5,10,-5.2853188515,5,10,-7.7378030883,5,10,-5.2883915901,5,11,-4.8010955387,5,10,-4.8884367943,5,10,-4.8266192605,5,10,-5.0691315988,5,10,0.15789473680000002,0.30000000000000004,0.2,Janet chatted inside the popular American restaurant on main street in downtown with the man.,Janet chatted with the man inside the popular American restaurant on main street in downtown.,0.5610432344,0.47212421190000003,0.5239776163000001,0.42975824020000003,0.4060111046,0.5992617078,0.2383126418,0.40134012,0.35208935210000003,0.3204758962,0.6030202754,0.41999334450000003,mpp,"[1.0, 4.0, 2.0, 2.0]"
8,8,Janet,negotiatied,during the conference,"['annual', 'charity']",[],about the project,['failing'],"['in the data', 'for the analysis']",3,4,-5.9873876572,during annual charity the conference ,about the failing project in the data for the analysis,12,17,6,10,5,10,-5.9470838547,6,10,-5.9580673218,6,10,-6.0239239454,6,10,-5.8910955906,6,10,-5.6907935824,6,10,-5.8131706374,6,10,-7.3320740972,6,10,-5.3802966205,7,11,-5.4407766732,6,10,-5.4306534204,6,10,-5.403230381,6,10,-5.6200009346,6,10,0.7058823529,0.5,0.75,Janet negotiatied about the failing project in the data for the analysis during the annual charity conference.,Janet negotiatied during the annual charity conference about the failing project in the data for the analysis.,-0.1066322326,-0.00091362,-0.0660718441,-0.050805401800000004,-0.1016824132,0.0674038842,-0.2414639564,-0.15823128,0.10696712400000001,0.11713346570000001,-0.1529078961,-0.3553984642,mpp,"[2.0, 4.0, 5.0, 2.0, 5.0]"
9,9,Janet,negotiatied,during the meeting,"['dedicated', 'internal']",[],about a raise,"['large', 'generous']","['for the budget', 'for her project']",3,5,-6.0353486197,during dedicated internal the meeting ,about a large generous raise for the budget for her project,12,16,6,11,5,11,-5.9269581749,6,11,-5.8326288859,6,11,-5.9310185342,6,11,-5.7237970261,6,11,-5.563983267,6,11,-5.6848039844,6,11,-8.0984136842,6,11,-6.184624932,7,11,-5.3272593125,6,11,-5.2451118801,6,11,-5.4543630509,6,11,-5.6649616105,6,11,0.75,0.4545454545,0.6000000000000001,Janet negotiatied about a large generous raise for the budget for her project during the dedicated internal meeting.,Janet negotiatied during the dedicated internal meeting about a large generous raise for the budget for her project.,-0.1379757836,-0.06508491150000001,-0.2455104646,-0.0216323535,-0.0963293422,-0.042233835500000004,0.06350341720000001,-0.06600908800000001,0.0030556347,-0.017799232300000002,0.0164838518,-0.0491481963,mpp,"[6.0, 3.0, 6.0, 2.0, 2.0]"
