model,dataset,full_r_sq,token_ab_r_sq,token_ab_p_better_fit,word_ab_r_sq,word_ab_p_better_fit,syll_ab_r_sq,syll_ab_p_better_fit,mods_ab_r_sq,mods_ab_p_better_fit
gpt2,PM,0.4472924511863744,0.436336188974374,3.501e-10,0.42163031936533657, < 2e-16,0.34729850308137533, < 2e-16,0.41026671383496405, < 2e-16
gpt2_med,PM,0.5083478332963616,0.4936715646252151, < 2e-16,0.4833397063515299, < 2e-16,0.4178259091825375, < 2e-16,0.47367563620742725, < 2e-16
gpt2_large,PM,0.5176069691932024,0.4998643547268281, < 2e-16,0.48549230387560816, < 2e-16,0.45357349026524807, < 2e-16,0.4805408633802143, < 2e-16
gpt2_xl,PM,0.5327044154065166,0.5270000683951814,1.701e-06,0.49929127385271543, < 2e-16,0.4776627235776152, < 2e-16,0.4999711891891496, < 2e-16
llama_3,PM,0.49346571517798865,0.4814644489295701,3.937e-13,0.4659710877052734, < 2e-16,0.4396733479453524, < 2e-16,0.4674719864909678, < 2e-16
llama_3_chat,PM,0.54032921887587,0.5261599338165448, < 2e-16,0.5104713436611468, < 2e-16,0.4642060883830774, < 2e-16,0.5069290063053498, < 2e-16
babyopt,PM,0.5730000158770658,0.5584928583968973, < 2e-16,0.5513878272301789, < 2e-16,0.5278666134760639, < 2e-16,0.5583208587581423, < 2e-16
babyllama,PM,0.6449636164260635,0.5805821953860058, < 2e-16,0.5856948992849402, < 2e-16,0.54925240672467, < 2e-16,0.6152548150741504, < 2e-16
mistral_0.3,PM,0.517057249997767,0.47613159003189154, < 2e-16,0.4707492325547893, < 2e-16,0.46659690643576757, < 2e-16,0.4909122891617764, < 2e-16
mistral_0.3_chat,PM,0.5291478452077718,0.4930722050958024, < 2e-16,0.48052732396333464, < 2e-16,0.4935495199998219, < 2e-16,0.5095220612725595, < 2e-16
olmo,PM,0.55826740877045,0.5357486130851177, < 2e-16,0.5292789988430633, < 2e-16,0.5084503228630834, < 2e-16,0.5337768154830358, < 2e-16
olmo_chat,PM,0.40648050267270996,0.3963481517062787,3.244e-10,0.39546545479599826,6.834e-11,0.35518027153541343, < 2e-16,0.3706813458278323, < 2e-16
